Mouse,Channel,TimeFrame,Region,Base_CSD,CNO_CSD,Delta_CSD,Base_Voltage,CNO_Voltage,Delta_Voltage,Base_Theta,CNO_Theta,Delta_Theta
M13_pten,38,GZ,HIL|DG GCL2,28.24973586771096,-58.7221848186656,-86.97192068637656,-831.0018878566362,-1040.94286215837,-209.94097430173372,-0.05197038897208449,-0.08516666814850568,-0.03319627917642119
M13_pten,40,AS,DG GCL2,-437.2637364284134,-677.7540073157674,-240.49027088735397,-1065.315779884745,-1378.906883144774,-313.59110326002883,-0.1184496654249104,-0.1076519477452123,0.010797717679698088
M13_pten,40,GZ,DG GCL2,-253.5507921545436,-746.9446936319044,-493.3939014773608,-1432.695540323534,-1461.939751715593,-29.244211392059015,-0.1184496654249104,-0.1076519477452123,0.010797717679698088
M13_pten,42,AS,DG GCL2,-476.1433711137309,-220.8727495877214,255.2706215260095,-1447.796648392615,-1276.887982942809,170.908665449806,-0.1301362847844542,-0.06507421767131652,0.06506206711313767
M13_pten,42,GZ,DG GCL2,-834.0947835084523,-312.1582168613443,521.9365666471081,-1660.426867414093,-1059.683459067772,600.7434083463211,-0.1301362847844542,-0.06507421767131652,0.06506206711313767
M13_pten,44,AS,DG GCL2|DG MML2,-135.7968585734618,148.2297470445815,284.0266056180433,-1285.859430327113,-880.2546716778595,405.6047586492534,-0.0727228756572505,-0.0653167223212307,0.007406153336019794
M13_pten,44,GZ,DG GCL2|DG MML2,-217.6961969796838,338.4177114224846,556.1139084021684,-1052.224311972926,-267.5220810908012,784.7022308821248,-0.0727228756572505,-0.0653167223212307,0.007406153336019794
M13_pten,46,AS,DG MML2,190.0711494849559,175.6419905204957,-14.429158964460186,-865.9167102530027,-615.2220861016582,250.69462415134456,-0.07301192654979859,-0.04536012032409691,0.027651806225701674
M13_pten,46,GZ,DG MML2,479.1088624864299,354.7539335395372,-124.35492894689276,-83.05614803357496,208.7717874332825,291.82793546685747,-0.07301192654979859,-0.04536012032409691,0.027651806225701674
M13_pten,48,AS,DG MML2,170.0412315715375,89.81463187781591,-80.2265996937216,-614.2053296685492,-525.2518367205975,88.95349294795176,-0.05878897481338195,-0.02326561264749926,0.03552336216588269
M13_pten,48,GZ,DG MML2,380.0896959328475,180.6663061028929,-199.42338982995463,456.1245739084176,348.724435042026,-107.40013886639156,-0.05878897481338195,-0.02326561264749926,0.03552336216588269
M13_pten,50,AS,DG OML2,40.98698662745304,-6.282484439937651,-47.2694710673907,-541.7463714765199,-528.4197751267659,13.326596349754027,-0.03385978870395444,-0.02282004974086793,0.011039738963086507
M13_pten,50,GZ,DG OML2,181.3166691706728,55.96832252496718,-125.34834664570563,617.8938299229585,329.5267376334351,-288.3670922895234,-0.03385978870395444,-0.02282004974086793,0.011039738963086507
M13_pten,52,AS,DG OML2,-66.41268612900843,-61.08849530613398,5.324190822874456,-500.5359132184108,-514.1679306788574,-13.632017460446548,-0.0130842227536208,-0.02324692498566677,-0.010162702232045968
M13_pten,52,GZ,DG OML2,-28.55945520897954,26.7936323070025,55.35308751598204,589.9206404427417,257.4667427042626,-332.45389773847916,-0.0130842227536208,-0.02324692498566677,-0.010162702232045968
M13_pten,54,AS,DG|DG OML2,20.10076336332502,-10.19560829162145,-30.29637165494647,-383.1350531701344,-412.9129652924995,-29.77791212236508,-0.005873622348096961,-0.01922657343231305,-0.013352951084216089
M13_pten,54,GZ,DG|DG OML2,5.172237273185497,8.425461467906016,3.253224194720519,560.4739098951762,148.7097033007292,-411.76420659444705,-0.005873622348096961,-0.01922657343231305,-0.013352951084216089
M13_pten,56,AS,DG|DG OML2,59.87284658650776,98.26499881334847,38.39215222684071,-313.9882993287184,-302.0976610560105,11.890638272707918,-0.009049934921831974,-0.02771314907905326,-0.018663214157221285
M13_pten,56,GZ,DG|DG OML2,51.94546152876861,-105.8988349382267,-157.8442964669953,528.1653001359552,40.69670874609823,-487.468591389857,-0.009049934921831974,-0.02771314907905326,-0.018663214157221285
M13_pten,58,AS,DG|DG OML2,-18.83144104736376,-69.11573646566741,-50.28429541830365,-324.844608739128,-326.6140927590193,-1.7694840198913084,-0.00446164229536972,-0.02514949539359736,-0.02068785309822764
M13_pten,58,GZ,DG|DG OML2,-32.72968604606079,-15.09493736959632,17.634748676464472,436.2331164289091,20.90746130236131,-415.3256551265478,-0.00446164229536972,-0.02514949539359736,-0.02068785309822764
M13_pten,60,AS,DG,-12.40196430657339,30.16692819370147,42.568892500274856,-303.0560709895169,-283.3849200063101,19.671150983206815,-0.00910482253729663,-0.007327729332807091,0.0017770932044895386
M13_pten,60,GZ,DG,19.50989526791254,17.73815341042293,-1.7717418574896087,386.5765911934505,19.38164056915391,-367.1949506242966,-0.00910482253729663,-0.007327729332807091,0.0017770932044895386
M13_pten,62,AS,DG,-4.364776161039244,2.210688422254173,6.575464583293417,-258.6546409940553,-269.7148413705536,-11.060200376498301,-0.009680513199721002,-0.007052775771301324,0.002627737428419678
M13_pten,62,GZ,DG,1.879822231699744,-9.290026974517064,-11.169849206216808,326.8623496364675,0.7369942761449245,-326.1253553603226,-0.009680513199721002,-0.007052775771301324,0.002627737428419678
M13_pten,64,AS,DG,-4.364776161039244,2.210688422254173,6.575464583293417,-205.0903008610458,-258.3758545510846,-53.285553690038824,,,
M13_pten,64,GZ,DG,,,,252.8795817159916,-12.02977798933119,-264.9093597053228,,,
M34_ptenblind,2,AS,CA1|CA1 SP,-0.05803022848065827,3.156512159041614,3.2145423875222723,-55.50780236968361,-84.73295111167194,-29.225148741988328,-0.002155839546707547,-0.001761482039450913,0.00039435750725663396
